band,Start Date,rate
A,10/07/2003,0.75
A,01/09/2006,0.5
A,04/12/2006,0.5
A,01/08/2007,0.5
A,06/12/2007,0.5
A,07/02/2008,0.5
A,08/10/2008,0.5
A,06/11/2008,0.5
A,04/12/2008,0.5
A,05/03/2009,0.05
A,10/10/2011,0.05
A,02/11/2017,0.2
A,02/08/2018,0.2
A,08/01/2020,0.1
A,24/07/2020,0.01
A,09/06/2022,0.01
A,21/07/2022,0.01
A,08/09/2022,0.05
A,20/10/2022,0.1
A,07/12/2022,0.18
A,19/01/2023,0.23
A,09/03/2023,0.48
A,27/04/2023,0.55
A,15/06/2023,0.8
A,27/07/2023,1.05
A,07/09/2023,1.3
A,01/12/2023,1.4
B,01/03/2004,1.85
B,01/09/2006,1.75
B,04/12/2006,2
B,01/02/2007,2.2
B,01/08/2007,2.7
B,06/12/2007,2.45
B,07/02/2008,2.2
B,08/10/2008,1.95
B,06/11/2008,0.5
B,04/12/2008,0.5
B,05/03/2009,0.05
B,10/10/2011,0.05
B,05/06/2016,0.05
B,05/12/2016,0.05
B,02/11/2017,0.2
B,02/08/2018,0.2
B,08/01/2020,0.1
B,24/07/2020,0.01
B,09/06/2022,0.01
B,21/07/2022,0.01
B,08/09/2022,0.05
B,20/10/2022,0.1
B,07/12/2022,0.18
B,19/01/2023,0.23
B,09/03/2023,0.48
B,27/04/2023,0.55
B,15/06/2023,0.8
B,27/07/2023,1.05
B,07/09/2023,1.3
B,01/12/2023,1.4
C,01/03/2004,2.25
C,01/09/2006,2.15
C,04/12/2006,2.4
C,01/02/2007,2.6
C,01/08/2007,3.1
C,06/12/2007,2.85
C,07/02/2008,2.6
C,08/10/2008,2.35
C,06/11/2008,0.5
C,04/12/2008,0.5
C,05/03/2009,0.05
C,10/10/2011,0.05
C,02/11/2017,0.2
C,02/08/2018,0.2
C,08/01/2020,0.1
C,24/07/2020,0.01
C,09/06/2022,0.01
C,21/07/2022,0.01
C,08/09/2022,0.05
C,20/10/2022,0.1
C,07/12/2022,0.18
C,19/01/2023,0.23
C,09/03/2023,0.48
C,27/04/2023,0.55
C,15/06/2023,0.8
C,27/07/2023,1.05
C,07/09/2023,1.3
C,01/12/2023,1.4
D,01/03/2004,2.6
D,01/09/2006,2.5
D,04/12/2006,2.75
D,01/02/2007,2.95
D,01/08/2007,3.45
D,06/12/2007,3.2
D,07/02/2008,2.95
D,08/10/2008,2.7
D,06/11/2008,0.6
D,05/12/2008,0.6
D,05/03/2009,0.05
D,10/10/2011,0.05
D,02/11/2017,0.2
D,02/08/2018,0.3
D,08/01/2020,0.2
D,24/07/2020,0.01
D,09/06/2022,0.01
D,21/07/2022,0.01
D,08/09/2022,0.05
D,20/10/2022,0.1
D,07/12/2022,0.18
D,19/01/2023,0.23
D,09/03/2023,0.48
D,27/04/2023,0.55
D,15/06/2023,0.8
D,27/07/2023,1.05
D,07/09/2023,1.55
D,01/12/2023,1.4
E,01/03/2004,2.75
E,01/09/2006,2.65
E,04/12/2006,2.9
E,01/02/2007,3.1
E,01/08/2007,3.6
E,06/12/2007,3.35
E,07/02/2008,3.1
E,08/10/2008,2.85
E,06/11/2008,0.75
E,05/12/2008,0.75
E,05/03/2009,0.05
E,10/10/2011,0.05
E,02/11/2017,0.2
E,02/08/2018,0.3
E,08/01/2020,0.2
E,24/07/2020,0.01
E,09/06/2022,0.01
E,21/07/2022,0.01
E,08/09/2022,0.05
E,20/10/2022,0.1
E,07/12/2022,0.18
E,19/01/2023,0.23
E,09/03/2023,0.48
E,27/04/2023,0.55
E,15/06/2023,0.8
E,27/07/2023,1.05
E,07/09/2023,1.55
E,01/12/2023,1.4
F,01/03/2004,2.9
F,01/09/2006,2.9
F,04/12/2006,3.15
F,01/02/2007,3.4
F,01/08/2007,3.9
F,06/12/2007,3.65
F,07/02/2008,3.4
F,08/10/2008,3.15
F,06/11/2008,1.15
F,04/12/2008,1.15
F,05/03/2009,0.15
F,10/10/2011,0.15
F,02/11/2017,0.25
F,02/08/2018,0.4
F,08/01/2020,0.3
F,24/07/2020,0.01
F,09/06/2022,0.05
F,21/07/2022,0.05
F,08/09/2022,0.1
F,20/10/2022,0.15
F,07/12/2022,0.23
F,19/01/2023,0.28
F,09/03/2023,0.53
F,27/04/2023,0.6
F,15/06/2023,1
F,27/07/2023,1.35
F,07/09/2023,1.55
F,01/12/2023,1.65
G,08/01/2020,0.3
G,24/07/2020,0.01
G,09/06/2022,0.05
G,21/07/2022,0.4
G,08/09/2022,0.6
G,20/10/2022,0.8
G,07/12/2022,1.1
G,19/01/2023,1.3
G,09/03/2023,1.45
G,27/04/2023,1.55
G,15/06/2023,1.6
G,27/07/2023,1.75
G,07/09/2023,1.85
G,01/12/2023,1.95
